mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,ib_link_lanes,ob_link_lanes,minmum,lanes,diff,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,mvmt_txt_id,geometry,volume,free_speed,allowed_uses
18,5,41529813,,4,1,1,133,1,1,1,1,1,1,,2626664037,41746580,left,,,,EBL,"LINESTRING (-111.9367521 33.4243590, -111.9366674 33.4244312)",,,auto
19,5,41529813,,4,1,1,134,1,1,1,1,1,1,,2626664037,41957870,right,,,,EBR,"LINESTRING (-111.9367521 33.4243590, -111.9366665 33.4242869)",,,auto
20,5,41529813,,7,1,1,5,1,1,1,1,1,1,0,316007232,2626664037,thru,,,,WBT,"LINESTRING (-111.9365799 33.4243596, -111.9367521 33.4243590)",,,auto
21,5,41529813,,7,1,1,133,1,1,1,1,1,1,,316007232,41746580,right,,,,WBR,"LINESTRING (-111.9365799 33.4243596, -111.9366674 33.4244312)",,,auto
22,5,41529813,,7,1,1,134,1,1,1,1,1,1,,316007232,41957870,left,,,,WBL,"LINESTRING (-111.9365799 33.4243596, -111.9366665 33.4242869)",,,auto
23,5,41529813,,132,1,1,5,1,1,1,1,1,1,,41746580,2626664037,right,,,,SBR,"LINESTRING (-111.9366674 33.4244312, -111.9367521 33.4243590)",,,auto
24,5,41529813,,132,1,1,6,1,1,1,1,1,1,,41746580,316007232,left,,,,SBL,"LINESTRING (-111.9366674 33.4244312, -111.9365799 33.4243596)",,,auto
25,5,41529813,,132,1,1,134,1,1,1,1,1,1,0,41746580,41957870,thru,,,,SBT,"LINESTRING (-111.9366674 33.4244312, -111.9366665 33.4242869)",,,auto
26,5,41529813,,135,1,1,5,1,1,1,1,1,1,,41957870,2626664037,left,,,,NBL,"LINESTRING (-111.9366665 33.4242869, -111.9367521 33.4243590)",,,auto
27,5,41529813,,135,1,1,6,1,1,1,1,1,1,,41957870,316007232,right,,,,NBR,"LINESTRING (-111.9366665 33.4242869, -111.9365799 33.4243596)",,,auto
28,5,41529813,,135,1,1,133,1,1,1,1,1,1,0,41957870,41746580,thru,,,,NBT,"LINESTRING (-111.9366665 33.4242869, -111.9366674 33.4244312)",,,auto
29,6,316007232,,6,1,1,66,1,1,1,1,1,1,,41529813,41746582,left,,,,EBL,"LINESTRING (-111.9350669 33.4243361, -111.9349809 33.4244068)",,,auto
30,6,316007232,,6,1,1,67,1,1,1,1,1,1,,41529813,42304472,right,,,,EBR,"LINESTRING (-111.9350669 33.4243361, -111.9349826 33.4242625)",,,auto
31,6,316007232,,65,1,1,7,1,1,1,1,1,1,,41746582,41529813,right,,,,SBR,"LINESTRING (-111.9349809 33.4244068, -111.9350669 33.4243361)",,,auto
32,6,316007232,,65,1,1,67,1,1,1,1,1,1,0,41746582,42304472,thru,,,,SBT,"LINESTRING (-111.9349809 33.4244068, -111.9349826 33.4242625)",,,auto
33,6,316007232,,68,1,1,7,1,1,1,1,1,1,,42304472,41529813,left,,,,NBL,"LINESTRING (-111.9349826 33.4242625, -111.9350669 33.4243361)",,,auto
34,6,316007232,,68,1,1,66,1,1,1,1,1,1,0,42304472,41746582,thru,,,,NBT,"LINESTRING (-111.9349826 33.4242625, -111.9349809 33.4244068)",,,auto
35,7,41533533,,9,1,1,292,2,2,1,2,1,1,,7265020288,4346605155,right,,,,NBR,"LINESTRING (-111.9412579 33.4218584, -111.9411748 33.4219308)",,,auto
36,7,41533533,,9,1,1,293,1,1,1,2,1,1,,7265020288,4346605154,left,,,,NBL,"LINESTRING (-111.9412579 33.4218584, -111.9413469 33.4219304)",,,auto
37,7,41533533,,291,1,1,8,1,1,2,1,1,1,,4346605155,7265020288,left,,,,WBL,"LINESTRING (-111.9411748 33.4219308, -111.9412579 33.4218584)",,,auto
38,7,41533533,,291,1,2,293,1,2,2,2,2,1,1,4346605155,4346605154,thru,,,,WBT,"LINESTRING (-111.9411748 33.4219308, -111.9413469 33.4219304)",,,auto
39,7,41533533,,294,2,2,8,1,1,2,1,1,1,,4346605154,7265020288,right,,,,EBR,"LINESTRING (-111.9413469 33.4219304, -111.9412579 33.4218584)",,,auto
40,7,41533533,,294,1,2,292,1,2,2,2,2,1,1,4346605154,4346605155,thru,,,,EBT,"LINESTRING (-111.9413469 33.4219304, -111.9411748 33.4219308)",,,auto
41,8,7265020288,,8,1,1,524,1,1,1,1,1,1,,41533533,7265020285,right,,,,SBR,"LINESTRING (-111.9412312 33.4205945, -111.9412646 33.4205116)",,,auto
42,8,7265020288,,523,1,1,9,1,1,1,1,1,1,,7264975968,41533533,right,,,,WBR,"LINESTRING (-111.9412016 33.4205119, -111.9412312 33.4205945)",,,auto
43,8,7265020288,,523,1,1,524,1,1,1,1,1,1,,7264975968,7265020285,left,,,,WBL,"LINESTRING (-111.9412016 33.4205119, -111.9412646 33.4205116)",,,auto
44,9,41563455,,11,1,1,29,1,1,1,1,1,1,,,41662601,left,,,,SBL,"LINESTRING (-111.9423410 33.4136870, -111.9422540 33.4136153)",,,auto
45,9,41563455,,11,1,1,30,1,1,1,1,1,1,,,,right,,,,SBR,"LINESTRING (-111.9423410 33.4136870, -111.9423700 33.4136143)",,,auto
46,9,41563455,,28,1,1,10,1,1,1,1,1,1,,41662601,,right,,,,WBR,"LINESTRING (-111.9422540 33.4136153, -111.9423410 33.4136870)",,,auto
47,9,41563455,,28,1,1,30,1,1,1,1,1,1,0,41662601,,thru,,,,WBT,"LINESTRING (-111.9422540 33.4136153, -111.9423700 33.4136143)",,,auto
48,9,41563455,,31,1,1,10,1,1,1,1,1,1,,,,left,,,,EBL,"LINESTRING (-111.9423700 33.4136143, -111.9423410 33.4136870)",,,auto
49,9,41563455,,31,1,1,29,1,1,1,1,1,1,0,,41662601,thru,,,,EBT,"LINESTRING (-111.9423700 33.4136143, -111.9422540 33.4136153)",,,auto
50,12,41563464,,12,1,1,14,1,1,1,1,1,1,0,,7265020297,thru,,,,NBT,"LINESTRING (-111.9423973 33.4190453, -111.9423639 33.4191147)",,,auto
51,12,41563464,,12,1,1,25,1,1,1,1,1,1,,,41533538,right,,,,NBR,"LINESTRING (-111.9423973 33.4190453, -111.9423085 33.4190488)",,,auto
52,12,41563464,,12,1,1,26,1,1,1,1,1,1,,,,left,,,,NBL,"LINESTRING (-111.9423973 33.4190453, -111.9423973 33.4190481)",,,auto
53,12,41563464,,15,1,1,13,1,1,1,1,1,1,0,7265020297,,thru,,,,SBT,"LINESTRING (-111.9423639 33.4191147, -111.9423973 33.4190453)",,,auto
54,12,41563464,,15,1,1,25,1,1,1,1,1,1,,7265020297,41533538,left,,,,SBL,"LINESTRING (-111.9423639 33.4191147, -111.9423085 33.4190488)",,,auto
55,12,41563464,,15,1,1,26,1,1,1,1,1,1,,7265020297,,right,,,,SBR,"LINESTRING (-111.9423639 33.4191147, -111.9423973 33.4190481)",,,auto
56,12,41563464,,24,1,1,13,1,1,1,1,1,1,,41533538,,left,,,,WBL,"LINESTRING (-111.9423085 33.4190488, -111.9423973 33.4190453)",,,auto
57,12,41563464,,24,1,1,14,1,1,1,1,1,1,,41533538,7265020297,right,,,,WBR,"LINESTRING (-111.9423085 33.4190488, -111.9423639 33.4191147)",,,auto
58,12,41563464,,24,1,1,26,1,1,1,1,1,1,0,41533538,,thru,,,,WBT,"LINESTRING (-111.9423085 33.4190488, -111.9423973 33.4190481)",,,auto
59,12,41563464,,27,1,1,13,1,1,1,1,1,1,,,,right,,,,EBR,"LINESTRING (-111.9423973 33.4190481, -111.9423973 33.4190453)",,,auto
60,12,41563464,,27,1,1,14,1,1,1,1,1,1,,,7265020297,left,,,,EBL,"LINESTRING (-111.9423973 33.4190481, -111.9423639 33.4191147)",,,auto
61,12,41563464,,27,1,1,25,1,1,1,1,1,1,0,,41533538,thru,,,,EBT,"LINESTRING (-111.9423973 33.4190481, -111.9423085 33.4190488)",,,auto
62,13,7265020297,,14,1,1,521,1,1,1,1,1,1,,41563464,7264975984,right,,,,NBR,"LINESTRING (-111.9423758 33.4203591, -111.9423431 33.4204423)",,,auto
63,13,7265020297,,520,1,1,15,1,1,1,1,1,1,,,41563464,right,,,,EBR,"LINESTRING (-111.9423891 33.4204332, -111.9423758 33.4203591)",,,auto
64,13,7265020297,,520,1,1,521,1,1,1,1,1,1,,,7264975984,left,,,,EBL,"LINESTRING (-111.9423891 33.4204332, -111.9423431 33.4204423)",,,auto
65,15,316870046,,16,1,2,17,1,2,2,2,2,1,1,316870186_2625358994,41624258,thru,,,,EBT,"LINESTRING (-111.9383659 33.4149590, -111.9382150 33.4148899)",,,auto
66,15,316870046,,16,2,2,98,1,1,2,1,1,1,,316870186_2625358994,2065989244_2065989260,right,,,,EBR,"LINESTRING (-111.9383659 33.4149590, -111.9383599 33.4148773)",,,auto
67,15,316870046,,97,1,1,17,1,1,1,2,1,1,,2625358988,41624258,left,,,,WBL,"LINESTRING (-111.9382220 33.4149630, -111.9382150 33.4148899)",,,auto
68,15,316870046,,97,1,1,98,1,1,1,1,1,1,0,2625358988,2065989244_2065989260,thru,,,,WBT,"LINESTRING (-111.9382220 33.4149630, -111.9383599 33.4148773)",,,auto
69,16,41624258,,17,1,2,18,1,2,2,2,2,2,0,316870046,4346575408,thru,,,,EBT,"LINESTRING (-111.9374506 33.4146632, -111.9372817 33.4146365)",,,auto
70,16,41624258,,77,1,1,18,2,2,1,2,1,1,0,3983483499,4346575408,thru,,,,EBT,"LINESTRING (-111.9374529 33.4146478, -111.9372817 33.4146365)",,,auto
71,17,4346575408,,18,1,2,218,1,2,2,3,2,2,0,41624258,330683946_41624261,thru,,,,EBT,"LINESTRING (-111.9371072 33.4146159, -111.9369356 33.4146059)",,,auto
72,18,41630200,,20,1,1,582,1,1,1,2,1,1,,41630202,4346581623,right,,,,EBR,"LINESTRING (-111.9401637 33.4264619, -111.9400778 33.4263902)",,,auto
73,18,41630200,,143,2,2,19,1,1,2,1,1,1,,41662581_2625359021,41630202,right,,,,SBR,"LINESTRING (-111.9400767 33.4265346, -111.9401637 33.4264619)",,,auto
74,18,41630200,,143,1,2,582,1,2,2,2,2,1,1,41662581_2625359021,4346581623,thru,,,,SBT,"LINESTRING (-111.9400767 33.4265346, -111.9400778 33.4263902)",,,auto
75,18,41630200,,609,3,3,19,1,1,3,1,1,1,,9164212030,41630202,left,,,,NBL,"LINESTRING (-111.9400211 33.4264212, -111.9401637 33.4264619)",,,auto
76,18,41630200,,609,1,2,582,1,2,3,2,2,2,,9164212030,4346581623,uturn,,,,NBU,"LINESTRING (-111.9400211 33.4264212, -111.9400778 33.4263902)",,,auto
77,19,41630202,,19,1,1,513,1,1,1,1,1,1,0,41630200,7125038250,thru,,,,WBT,"LINESTRING (-111.9406919 33.4264590, -111.9408641 33.4264578)",,,auto
78,19,41630202,,514,1,1,20,1,1,1,1,1,1,0,7125038250,41630200,thru,,,,EBT,"LINESTRING (-111.9408641 33.4264578, -111.9406919 33.4264590)",,,auto
79,23,41533538,,22,1,1,24,1,1,1,1,1,1,0,1698683826_2625359006,41563464,thru,,,,WBT,"LINESTRING (-111.9411494 33.4190574, -111.9413214 33.4190563)",,,auto
80,23,41533538,,22,1,1,531,1,1,1,1,1,1,,1698683826_2625359006,7265020287,right,,,,WBR,"LINESTRING (-111.9411494 33.4190574, -111.9412225 33.4191282)",,,auto
81,23,41533538,,22,1,1,532,1,1,1,1,1,1,,1698683826_2625359006,41533540,left,,,,WBL,"LINESTRING (-111.9411494 33.4190574, -111.9412369 33.4189848)",,,auto
82,23,41533538,,25,1,1,23,1,1,1,1,1,1,0,41563464,1698683826_2625359006,thru,,,,EBT,"LINESTRING (-111.9413214 33.4190563, -111.9411494 33.4190574)",,,auto
83,23,41533538,,25,1,1,531,1,1,1,1,1,1,,41563464,7265020287,left,,,,EBL,"LINESTRING (-111.9413214 33.4190563, -111.9412225 33.4191282)",,,auto
84,23,41533538,,25,1,1,532,1,1,1,1,1,1,,41563464,41533540,right,,,,EBR,"LINESTRING (-111.9413214 33.4190563, -111.9412369 33.4189848)",,,auto
85,23,41533538,,530,1,1,23,1,1,1,1,1,1,,7265020287,1698683826_2625359006,left,,,,SBL,"LINESTRING (-111.9412225 33.4191282, -111.9411494 33.4190574)",,,auto
86,23,41533538,,530,1,1,24,1,1,1,1,1,1,,7265020287,41563464,right,,,,SBR,"LINESTRING (-111.9412225 33.4191282, -111.9413214 33.4190563)",,,auto
87,23,41533538,,530,1,1,532,1,1,1,1,1,1,0,7265020287,41533540,thru,,,,SBT,"LINESTRING (-111.9412225 33.4191282, -111.9412369 33.4189848)",,,auto
88,23,41533538,,533,1,1,23,1,1,1,1,1,1,,41533540,1698683826_2625359006,right,,,,NBR,"LINESTRING (-111.9412369 33.4189848, -111.9411494 33.4190574)",,,auto
89,23,41533538,,533,1,1,24,1,1,1,1,1,1,,41533540,41563464,left,,,,NBL,"LINESTRING (-111.9412369 33.4189848, -111.9413214 33.4190563)",,,auto
90,23,41533538,,533,1,1,531,1,1,1,1,1,1,0,41533540,7265020287,thru,,,,NBT,"LINESTRING (-111.9412369 33.4189848, -111.9412225 33.4191282)",,,auto
91,25,41662601,,29,1,1,100,1,1,1,2,1,1,,41563455,4346569402,left,,,,EBL,"LINESTRING (-111.9399788 33.4136269, -111.9398933 33.4136995)",,,auto
92,25,41662601,,29,1,1,414,2,2,1,2,1,1,,41563455,41662602,right,,,,EBR,"LINESTRING (-111.9399788 33.4136269, -111.9398922 33.4135551)",,,auto
93,25,41662601,,99,2,2,28,1,1,2,1,1,1,,4346569402,41563455,right,,,,SBR,"LINESTRING (-111.9398933 33.4136995, -111.9399788 33.4136269)",,,auto
94,25,41662601,,99,1,2,414,1,2,2,2,2,1,1,4346569402,41662602,thru,,,,SBT,"LINESTRING (-111.9398933 33.4136995, -111.9398922 33.4135551)",,,auto
95,25,41662601,,415,1,1,28,1,1,2,1,1,1,,41662602,41563455,left,,,,NBL,"LINESTRING (-111.9398922 33.4135551, -111.9399788 33.4136269)",,,auto
96,25,41662601,,415,1,2,100,1,2,2,2,2,1,1,41662602,4346569402,thru,,,,NBT,"LINESTRING (-111.9398922 33.4135551, -111.9398933 33.4136995)",,,auto
97,29,337713512,,34,1,1,471,1,1,1,2,1,1,0,3642940510,41662584_2625359016,thru,,,,WBT,"LINESTRING (-111.9393300 33.4254972, -111.9395021 33.4254965)",,,auto
98,29,337713512,,470,1,1,33,1,1,1,1,1,1,0,41662584_2625359016,3642940510,thru,,,,EBT,"LINESTRING (-111.9395021 33.4254965, -111.9393300 33.4254972)",,,auto
99,30,3642940510,,33,1,1,35,1,1,1,1,1,1,0,337713512,41746580,thru,,,,EBT,"LINESTRING (-111.9382471 33.4254956, -111.9380749 33.4254953)",,,auto
100,30,3642940510,,33,1,1,178,1,1,1,1,1,1,,337713512,2625359019,left,,,,EBL,"LINESTRING (-111.9382471 33.4254956, -111.9381617 33.4255676)",,,auto
101,30,3642940510,,36,1,1,34,1,1,1,1,1,1,0,41746580,337713512,thru,,,,WBT,"LINESTRING (-111.9380749 33.4254953, -111.9382471 33.4254956)",,,auto
102,30,3642940510,,36,1,1,178,1,1,1,1,1,1,,41746580,2625359019,right,,,,WBR,"LINESTRING (-111.9380749 33.4254953, -111.9381617 33.4255676)",,,auto
103,30,3642940510,,179,1,1,34,1,1,1,1,1,1,,2625359019,337713512,right,,,,SBR,"LINESTRING (-111.9381617 33.4255676, -111.9382471 33.4254956)",,,auto
104,30,3642940510,,179,1,1,35,1,1,1,1,1,1,,2625359019,41746580,left,,,,SBL,"LINESTRING (-111.9381617 33.4255676, -111.9380749 33.4254953)",,,auto
105,31,41746580,,35,1,1,132,1,1,1,1,1,1,,3642940510,41529813,right,,,,EBR,"LINESTRING (-111.9367585 33.4254993, -111.9366720 33.4254270)",,,auto
106,31,41746580,,35,1,1,192,1,1,1,1,1,1,0,3642940510,6786314013,thru,,,,EBT,"LINESTRING (-111.9367585 33.4254993, -111.9365864 33.4255002)",,,auto
107,31,41746580,,133,1,1,36,1,1,1,1,1,1,,41529813,3642940510,left,,,,NBL,"LINESTRING (-111.9366720 33.4254270, -111.9367585 33.4254993)",,,auto
108,31,41746580,,133,1,1,192,1,1,1,1,1,1,,41529813,6786314013,right,,,,NBR,"LINESTRING (-111.9366720 33.4254270, -111.9365864 33.4255002)",,,auto
109,31,41746580,,193,1,1,36,1,1,1,1,1,1,0,6786314013,3642940510,thru,,,,WBT,"LINESTRING (-111.9365864 33.4255002, -111.9367585 33.4254993)",,,auto
110,31,41746580,,193,1,1,132,1,1,1,1,1,1,,6786314013,41529813,left,,,,WBL,"LINESTRING (-111.9365864 33.4255002, -111.9366720 33.4254270)",,,auto
111,32,5201685464,,38,1,1,445,1,1,1,2,1,1,0,41654675,5280009872,thru,,,,NBT,"LINESTRING (-111.9288418 33.4179736, -111.9288462 33.4181178)",,,auto
112,32,5201685464,,444,1,1,37,1,1,1,1,1,1,0,5280009872,41654675,thru,,,,SBT,"LINESTRING (-111.9288462 33.4181178, -111.9288418 33.4179736)",,,auto
113,33,41654675,,37,1,1,380,1,1,1,1,1,1,,5201685464,4716137951,right,,,,SBR,"LINESTRING (-111.9293480 33.4166989, -111.9294902 33.4166401)",,,auto
114,33,41654675,,37,1,1,492,2,2,1,2,1,1,0,5201685464,5806210751,thru,,,,SBT,"LINESTRING (-111.9293480 33.4166989, -111.9294782 33.4166074)",,,auto
115,33,41654675,,37,1,1,553,1,1,1,1,1,1,,5201685464,41573980,left,,,,SBL,"LINESTRING (-111.9293480 33.4166989, -111.9293183 33.4166439)",,,auto
116,33,41654675,,379,1,1,38,1,1,1,1,1,1,,4716137951,5201685464,left,,,,SBL,"LINESTRING (-111.9294902 33.4166401, -111.9293480 33.4166989)",,,auto
117,33,41654675,,379,1,1,492,2,2,1,2,1,1,,4716137951,5806210751,right,,,,SBR,"LINESTRING (-111.9294902 33.4166401, -111.9294782 33.4166074)",,,auto
118,33,41654675,,379,1,1,553,1,1,1,1,1,1,,4716137951,41573980,left,,,,SBL,"LINESTRING (-111.9294902 33.4166401, -111.9293183 33.4166439)",,,auto
119,33,41654675,,443,1,1,38,1,1,1,1,1,1,0,317327702,5201685464,thru,,,,NBT,"LINESTRING (-111.9294402 33.4165787, -111.9293480 33.4166989)",,,auto
120,33,41654675,,443,1,1,380,1,1,1,1,1,1,,317327702,4716137951,left,,,,NBL,"LINESTRING (-111.9294402 33.4165787, -111.9294902 33.4166401)",,,auto
121,33,41654675,,443,1,1,492,1,1,1,2,1,1,,317327702,5806210751,uturn,,,,NBU,"LINESTRING (-111.9294402 33.4165787, -111.9294782 33.4166074)",,,auto
122,33,41654675,,443,1,1,553,1,1,1,1,1,1,,317327702,41573980,right,,,,NBR,"LINESTRING (-111.9294402 33.4165787, -111.9293183 33.4166439)",,,auto
123,33,41654675,,554,1,1,38,1,1,1,1,1,1,,41573980,5201685464,right,,,,WBR,"LINESTRING (-111.9293183 33.4166439, -111.9293480 33.4166989)",,,auto
124,33,41654675,,554,1,1,380,1,1,1,1,1,1,,41573980,4716137951,right,,,,WBR,"LINESTRING (-111.9293183 33.4166439, -111.9294902 33.4166401)",,,auto
125,33,41654675,,554,1,1,492,1,1,1,2,1,1,0,41573980,5806210751,thru,,,,WBT,"LINESTRING (-111.9293183 33.4166439, -111.9294782 33.4166074)",,,auto
126,34,41830283,,40,1,1,49,1,1,1,1,1,1,,41830285,316880529,right,,,,WBR,"LINESTRING (-111.9369849 33.4135310, -111.9370714 33.4136025)",,,auto
127,34,41830283,,40,1,1,411,1,1,1,1,1,1,0,41830285,41662602,thru,,,,WBT,"LINESTRING (-111.9369849 33.4135310, -111.9371569 33.4135295)",,,auto
128,34,41830283,,50,1,1,39,1,1,1,1,1,1,,316880529,41830285,left,,,,SBL,"LINESTRING (-111.9370714 33.4136025, -111.9369849 33.4135310)",,,auto
129,34,41830283,,50,1,1,411,1,1,1,1,1,1,,316880529,41662602,right,,,,SBR,"LINESTRING (-111.9370714 33.4136025, -111.9371569 33.4135295)",,,auto
130,34,41830283,,410,1,1,39,1,1,1,1,1,1,0,41662602,41830285,thru,,,,EBT,"LINESTRING (-111.9371569 33.4135295, -111.9369849 33.4135310)",,,auto
131,34,41830283,,410,1,1,49,1,1,1,1,1,1,,41662602,316880529,left,,,,EBL,"LINESTRING (-111.9371569 33.4135295, -111.9370714 33.4136025)",,,auto
132,35,41830285,,39,1,1,106,1,1,1,1,1,1,,41830283,5200239622,left,,,,EBL,"LINESTRING (-111.9350188 33.4135468, -111.9349345 33.4136196)",,,auto
133,35,41830285,,39,1,1,486,1,1,1,1,1,1,0,41830283,41830286,thru,,,,EBT,"LINESTRING (-111.9350188 33.4135468, -111.9348468 33.4135484)",,,auto
134,35,41830285,,39,1,1,490,1,1,1,1,1,1,,41830283,,right,,,,EBR,"LINESTRING (-111.9350188 33.4135468, -111.9349332 33.4134753)",,,auto
135,35,41830285,,105,1,1,40,1,1,1,1,1,1,,5200239622,41830283,right,,,,SBR,"LINESTRING (-111.9349345 33.4136196, -111.9350188 33.4135468)",,,auto
136,35,41830285,,105,1,1,486,1,1,1,1,1,1,,5200239622,41830286,left,,,,SBL,"LINESTRING (-111.9349345 33.4136196, -111.9348468 33.4135484)",,,auto
137,35,41830285,,105,1,1,490,1,1,1,1,1,1,0,5200239622,,thru,,,,SBT,"LINESTRING (-111.9349345 33.4136196, -111.9349332 33.4134753)",,,auto
138,35,41830285,,487,1,1,40,1,1,1,1,1,1,0,41830286,41830283,thru,,,,WBT,"LINESTRING (-111.9348468 33.4135484, -111.9350188 33.4135468)",,,auto
139,35,41830285,,487,1,1,106,1,1,1,1,1,1,,41830286,5200239622,right,,,,WBR,"LINESTRING (-111.9348468 33.4135484, -111.9349345 33.4136196)",,,auto
140,35,41830285,,487,1,1,490,1,1,1,1,1,1,,41830286,,left,,,,WBL,"LINESTRING (-111.9348468 33.4135484, -111.9349332 33.4134753)",,,auto
141,35,41830285,,491,1,1,40,1,1,1,1,1,1,,,41830283,left,,,,NBL,"LINESTRING (-111.9349332 33.4134753, -111.9350188 33.4135468)",,,auto
142,35,41830285,,491,1,1,106,1,1,1,1,1,1,0,,5200239622,thru,,,,NBT,"LINESTRING (-111.9349332 33.4134753, -111.9349345 33.4136196)",,,auto
143,35,41830285,,491,1,1,486,1,1,1,1,1,1,,,41830286,right,,,,NBR,"LINESTRING (-111.9349332 33.4134753, -111.9348468 33.4135484)",,,auto
144,36,41855562,,42,1,1,54,1,1,1,1,1,1,,,41966652,left,,,,NBL,"LINESTRING (-111.9225908 33.4128223, -111.9226775 33.4128942)",,,auto
145,36,41855562,,42,1,1,55,1,1,1,1,1,1,,,,right,,,,NBR,"LINESTRING (-111.9225908 33.4128223, -111.9225055 33.4128945)",,,auto
146,36,41855562,,53,1,1,41,1,1,1,1,1,1,,41966652,,right,,,,EBR,"LINESTRING (-111.9226775 33.4128942, -111.9225908 33.4128223)",,,auto
147,36,41855562,,53,1,1,55,1,1,1,1,1,1,0,41966652,,thru,,,,EBT,"LINESTRING (-111.9226775 33.4128942, -111.9225055 33.4128945)",,,auto
148,36,41855562,,56,1,1,41,1,1,1,1,1,1,,,,left,,,,WBL,"LINESTRING (-111.9225055 33.4128945, -111.9225908 33.4128223)",,,auto
149,36,41855562,,56,1,1,54,1,1,1,1,1,1,0,,41966652,thru,,,,WBT,"LINESTRING (-111.9225055 33.4128945, -111.9226775 33.4128942)",,,auto
150,38,41573985,,44,1,1,360,1,1,1,3,1,1,,,4347879981,right,,,,WBR,"LINESTRING (-111.9261543 33.4209593, -111.9262381 33.4210485)",,,auto
151,38,41573985,,359,3,3,43,1,1,3,1,1,1,,2300341851,,right,,,,NBR,"LINESTRING (-111.9262370 33.4209041, -111.9261543 33.4209593)",,,auto
152,38,41573985,,359,1,3,360,1,3,3,3,3,3,0,2300341851,4347879981,thru,,,,NBT,"LINESTRING (-111.9262370 33.4209041, -111.9262381 33.4210485)",,,auto
153,40,5333539971,,46,1,1,510,1,1,1,1,1,1,0,5333539972,5333560369,thru,,,,NBT,"LINESTRING (-111.9366527 33.4174112, -111.9366561 33.4175555)",,,auto
