agent_id,agent_type,o_node_id,d_node_id,travel_time,node_sequence,time_sequence
44,v,2,20,-1.1,2;6;8;7;18;20,0001:00;0006:42;0008:41;0011:41;0013:41;0017:41
45,v,2,21,-1.1,2;6;8;7;18;20;21,0001:00;0006:42;0008:41;0011:41;0013:41;0017:41;0023:41
46,v,2,22,-1.1,2;6;8;7;18;20;22,0001:00;0006:47;0008:48;0011:48;0013:48;0017:48;0022:48
47,v,2,23,-1.1,2;1;3;12;13;24;23,0001:00;0007:12;0011:11;0015:11;0018:11;0022:11;0024:11
48,v,2,24,-1.1,2;1;3;12;13;24,0001:00;0007:12;0011:11;0015:11;0018:11;0022:11
49,v,3,1,-1.1,3;1,0001:00;0005:00
50,v,3,2,-1.1,3;1;2,0001:00;0005:00;0011:00
52,v,3,4,-1.1,3;4,0001:00;0005:00
53,v,3,5,-1.1,3;4;5,0001:00;0005:00;0007:00
54,v,3,6,-1.1,3;4;5;6,0001:00;0005:05;0007:05;0011:05
55,v,3,7,-1.1,3;4;5;6;8;7,0001:00;0005:05;0007:05;0011:05;0013:05;0016:06
56,v,3,8,-1.1,3;4;5;6;8,0001:00;0005:12;0007:12;0011:11;0013:11
57,v,3,9,-1.1,3;4;5;9,0001:00;0005:12;0007:12;0012:11
58,v,3,10,-1.1,3;4;5;9;10,0001:00;0005:17;0007:17;0012:18;0015:18
59,v,3,11,-1.1,3;4;11,0001:00;0005:17;0011:18
60,v,3,12,-1.1,3;12,0001:00;0005:00
61,v,3,13,-1.1,3;12;13,0001:00;0005:00;0008:00
62,v,3,14,-1.1,3;4;11;14,0001:00;0005:24;0011:24;0015:24
63,v,3,15,-1.1,3;4;11;14;15,0001:00;0005:24;0011:24;0015:24;0020:23
64,v,3,16,-1.1,3;4;5;6;8;16,0001:00;0005:30;0007:30;0011:30;0013:30;0018:30
65,v,3,17,-1.1,3;4;5;6;8;16;17,0001:00;0005:30;0007:30;0011:30;0013:30;0018:30;0020:30
66,v,3,18,-1.1,3;4;5;6;8;7;18,0001:00;0005:35;0007:35;0011:35;0013:35;0016:36;0018:36
67,v,3,19,-1.1,3;4;5;6;8;16;17;19,0001:00;0005:35;0007:35;0011:35;0013:35;0018:36;0020:36;0022:36
68,v,3,20,-1.1,3;12;13;24;21;20,0001:00;0005:05;0008:05;0012:05;0015:05;0021:06
69,v,3,21,-1.1,3;12;13;24;21,0001:00;0005:05;0008:05;0012:05;0015:05
70,v,3,22,-1.1,3;12;13;24;21;22,0001:00;0005:12;0008:11;0012:11;0015:11;0017:11
71,v,3,23,-1.1,3;12;13;24;23,0001:00;0005:12;0008:11;0012:11;0014:11
72,v,3,24,-1.1,3;12;13;24,0001:00;0005:17;0008:18;0012:18
73,v,4,1,-1.1,4;3;1,0001:00;0005:00;0009:00
74,v,4,2,-1.1,4;5;6;2,0001:00;0003:00;0007:00;0012:00
75,v,4,3,-1.1,4;3,0001:00;0005:00
77,v,4,5,-1.1,4;5,0001:00;0003:00
78,v,4,6,-1.1,4;5;6,0001:00;0003:06;0007:05
79,v,4,7,-1.1,4;5;6;8;7,0001:00;0003:06;0007:05;0009:05;0012:05
80,v,4,8,-1.1,4;5;6;8,0001:00;0003:12;0007:12;0009:11
81,v,4,9,-1.1,4;5;9,0001:00;0003:12;0008:11
82,v,4,10,-1.1,4;5;9;10,0001:00;0003:17;0008:18;0011:18
83,v,4,11,-1.1,4;11,0001:00;0007:00
84,v,4,12,-1.1,4;3;12,0001:00;0005:05;0009:05
85,v,4,13,-1.1,4;3;12;13,0001:00;0005:05;0009:05;0012:05
86,v,4,14,-1.1,4;11;14,0001:00;0007:00;0011:00
87,v,4,15,-1.1,4;11;14;15,0001:00;0007:05;0011:05;0016:06
88,v,4,16,-1.1,4;5;6;8;16,0001:00;0003:17;0007:17;0009:18;0014:18
89,v,4,17,-1.1,4;5;6;8;16;17,0001:00;0003:23;0007:24;0009:24;0014:24;0016:23
90,v,4,18,-1.1,4;5;6;8;7;18,0001:00;0003:23;0007:24;0009:24;0012:24;0014:24
91,v,4,19,-1.1,4;5;6;8;16;17;19,0001:00;0003:30;0007:30;0009:30;0014:30;0016:30;0018:30
92,v,4,20,-1.1,4;5;6;8;7;18;20,0001:00;0003:30;0007:30;0009:30;0012:30;0014:30;0018:30
93,v,4,21,-1.1,4;3;12;13;24;21,0001:00;0005:12;0009:11;0012:11;0016:11;0019:11
94,v,4,22,-1.1,4;11;14;23;22,0001:00;0007:05;0011:05;0015:05;0019:06
95,v,4,23,-1.1,4;11;14;23,0001:00;0007:12;0011:11;0015:11
96,v,4,24,-1.1,4;3;12;13;24,0001:00;0005:12;0009:11;0012:11;0016:11
97,v,5,1,-1.1,5;4;3;1,0001:00;0003:00;0007:00;0011:00
98,v,5,2,-1.1,5;6;2,0001:00;0005:00;0010:00
99,v,5,3,-1.1,5;4;3,0001:00;0003:00;0007:00
100,v,5,4,-1.1,5;4,0001:00;0003:00
102,v,5,6,-1.1,5;6,0001:00;0005:00
103,v,5,7,-1.1,5;6;8;7,0001:00;0005:05;0007:05;0010:05
104,v,5,8,-1.1,5;6;8,0001:00;0005:05;0007:05
105,v,5,9,-1.1,5;9,0001:00;0006:00
106,v,5,10,-1.1,5;9;10,0001:00;0006:00;0009:00
107,v,5,11,-1.1,5;4;11,0001:00;0003:06;0009:05
108,v,5,12,-1.1,5;4;3;12,0001:00;0003:12;0007:12;0011:11
109,v,5,13,-1.1,5;4;3;12;13,0001:00;0003:12;0007:12;0011:11;0014:11
110,v,5,14,-1.1,5;4;11;14,0001:00;0003:17;0009:18;0013:18
111,v,5,15,-1.1,5;9;10;15,0001:00;0006:05;0009:05;0015:05
112,v,5,16,-1.1,5;6;8;16,0001:00;0005:12;0007:12;0012:11
113,v,5,17,-1.1,5;6;8;16;17,0001:00;0005:12;0007:12;0012:11;0014:11
114,v,5,18,-1.1,5;6;8;7;18,0001:00;0005:17;0007:17;0010:18;0012:18
115,v,5,19,-1.1,5;6;8;16;17;19,0001:00;0005:17;0007:17;0012:18;0014:18;0016:18
116,v,5,20,-1.1,5;6;8;7;18;20,0001:00;0005:24;0007:24;0010:24;0012:24;0016:23
117,v,5,21,-1.1,5;9;10;15;22;21,0001:00;0006:05;0009:05;0015:05;0019:06;0021:06
118,v,5,22,-1.1,5;9;10;15;22,0001:00;0006:12;0009:11;0015:11;0019:11
119,v,5,23,-1.1,5;4;11;14;23,0001:00;0003:17;0009:18;0013:18;0017:18
120,v,5,24,-1.1,5;4;3;12;13;24,0001:00;0003:23;0007:24;0011:24;0014:24;0018:23
121,v,6,1,-1.1,6;2;1,0001:00;0006:00;0012:00
122,v,6,2,-1.1,6;2,0001:00;0006:00
123,v,6,3,-1.1,6;5;4;3,0001:00;0005:00;0007:00;0011:00
124,v,6,4,-1.1,6;5;4,0001:00;0005:00;0007:00
125,v,6,5,-1.1,6;5,0001:00;0005:00
127,v,6,7,-1.1,6;8;7,0001:00;0003:00;0006:00
128,v,6,8,-1.1,6;8,0001:00;0003:00
129,v,6,9,-1.1,6;5;9,0001:00;0005:05;0010:05
130,v,6,10,-1.1,6;5;9;10,0001:00;0005:12;0010:11;0013:11
131,v,6,11,-1.1,6;5;4;11,0001:00;0005:12;0007:12;0013:11
132,v,6,12,-1.1,6;5;4;3;12,0001:00;0005:17;0007:17;0011:18;0015:18
133,v,6,13,-1.1,6;5;4;3;12;13,0001:00;0005:17;0007:17;0011:18;0015:18;0018:18
134,v,6,14,-1.1,6;5;4;11;14,0001:00;0005:24;0007:24;0013:24;0017:23
135,v,6,15,-1.1,6;8;16;17;19;15,0001:00;0003:06;0008:05;0010:05;0012:05;0016:06
136,v,6,16,-1.1,6;8;16,0001:00;0003:06;0008:05
137,v,6,17,-1.1,6;8;16;17,0001:00;0003:12;0008:11;0010:11
138,v,6,18,-1.1,6;8;7;18,0001:00;0003:12;0006:12;0008:11
139,v,6,19,-1.1,6;8;16;17;19,0001:00;0003:17;0008:18;0010:18;0012:18
140,v,6,20,-1.1,6;8;7;18;20,0001:00;0003:17;0006:17;0008:18;0012:18
141,v,6,21,-1.1,6;8;7;18;20;21,0001:00;0003:23;0006:24;0008:24;0012:24;0018:23
142,v,6,22,-1.1,6;8;7;18;20;22,0001:00;0003:23;0006:24;0008:24;0012:24;0017:23
143,v,6,23,-1.1,6;5;4;11;14;23,0001:00;0005:24;0007:24;0013:24;0017:23;0021:23
144,v,6,24,-1.1,6;8;7;18;20;21;24,0001:00;0003:30;0006:30;0008:30;0012:30;0018:30;0021:30
145,v,7,1,-1.1,7;8;6;2;1,0001:00;0004:00;0006:00;0011:00;0017:00
146,v,7,2,-1.1,7;8;6;2,0001:00;0004:00;0006:00;0011:00
147,v,7,3,-1.1,7;8;6;5;4;3,0001:00;0004:05;0006:05;0010:05;0012:05;0016:06
148,v,7,4,-1.1,7;8;6;5;4,0001:00;0004:05;0006:05;0010:05;0012:05
149,v,7,5,-1.1,7;8;6;5,0001:00;0004:12;0006:12;0010:11
150,v,7,6,-1.1,7;8;6,0001:00;0004:12;0006:12
152,v,7,8,-1.1,7;8,0001:00;0004:00
153,v,7,9,-1.1,7;8;9,0001:00;0004:17;0014:18
154,v,7,10,-1.1,7;18;16;10,0001:00;0003:00;0006:00;0011:00
155,v,7,11,-1.1,7;18;16;10;11,0001:00;0003:00;0006:00;0011:05;0016:06
156,v,7,12,-1.1,7;8;6;5;4;3;12,0001:00;0004:24;0006:24;0010:24;0012:24;0016:23;0020:23
157,v,7,13,-1.1,7;18;20;21;24;13,0001:00;0003:06;0007:05;0013:05;0016:06;0020:06
158,v,7,14,-1.1,7;18;16;17;19;15;14,0001:00;0003:06;0006:05;0008:05;0010:05;0014:05;0019:06
159,v,7,15,-1.1,7;18;16;17;19;15,0001:00;0003:12;0006:12;0008:11;0010:11;0014:11
160,v,7,16,-1.1,7;18;16,0001:00;0003:12;0006:12
161,v,7,17,-1.1,7;18;16;17,0001:00;0003:17;0006:17;0008:18
162,v,7,18,-1.1,7;18,0001:00;0003:00
163,v,7,19,-1.1,7;18;16;17;19,0001:00;0003:23;0006:24;0008:24;0010:24
164,v,7,20,-1.1,7;18;20,0001:00;0003:23;0007:24
165,v,7,21,-1.1,7;18;20;21,0001:00;0003:30;0007:30;0013:30
166,v,7,22,-1.1,7;18;20;22,0001:00;0003:30;0007:30;0012:30
167,v,7,23,-1.1,7;18;20;22;23,0001:00;0003:36;0007:35;0012:35;0016:36
168,v,7,24,-1.1,7;18;20;21;24,0001:00;0003:36;0007:35;0013:35;0016:36
169,v,8,1,-1.1,8;6;2;1,0001:00;0003:00;0008:00;0014:00
170,v,8,2,-1.1,8;6;2,0001:00;0003:00;0008:00
171,v,8,3,-1.1,8;6;5;4;3,0001:00;0003:06;0007:05;0009:05;0013:05
172,v,8,4,-1.1,8;6;5;4,0001:00;0003:06;0007:05;0009:05
173,v,8,5,-1.1,8;6;5,0001:00;0003:12;0007:12
174,v,8,6,-1.1,8;6,0001:00;0003:00
175,v,8,7,-1.1,8;7,0001:00;0004:00
177,v,8,9,-1.1,8;9,0001:00;0011:00
178,v,8,10,-1.1,8;16;10,0001:00;0006:00;0011:00
179,v,8,11,-1.1,8;6;5;4;11,0001:00;0003:17;0007:17;0009:18;0015:18
180,v,8,12,-1.1,8;6;5;4;3;12,0001:00;0003:17;0007:17;0009:18;0013:18;0017:18
181,v,8,13,-1.1,8;6;5;4;3;12;13,0001:00;0003:23;0007:24;0009:24;0013:24;0017:23;0020:23
182,v,8,14,-1.1,8;6;5;4;11;14,0001:00;0003:23;0007:24;0009:24;0015:24;0019:23
183,v,8,15,-1.1,8;16;17;19;15,0001:00;0006:00;0008:00;0010:00;0014:00
184,v,8,16,-1.1,8;16,0001:00;0006:00
185,v,8,17,-1.1,8;16;17,0001:00;0006:05;0008:05
186,v,8,18,-1.1,8;7;18,0001:00;0004:00;0006:00
187,v,8,19,-1.1,8;16;17;19,0001:00;0006:12;0008:18;0010:18
188,v,8,20,-1.1,8;7;18;20,0001:00;0004:05;0006:05;0010:05
189,v,8,21,-1.1,8;7;18;20;21,0001:00;0004:05;0006:05;0010:05;0016:06
190,v,8,22,-1.1,8;7;18;20;22,0001:00;0004:12;0006:12;0010:11;0015:11
191,v,8,23,-1.1,8;7;18;20;22;23,0001:00;0004:12;0006:12;0010:11;0015:11;0019:11
192,v,8,24,-1.1,8;7;18;20;21;24,0001:00;0004:17;0006:17;0010:18;0016:18;0019:18
193,v,9,1,-1.1,9;5;4;3;1,0001:00;0006:00;0008:00;0012:00;0016:00
194,v,9,2,-1.1,9;5;6;2,0001:00;0006:00;0010:00;0015:00
195,v,9,3,-1.1,9;5;4;3,0001:00;0006:05;0008:05;0012:05
196,v,9,4,-1.1,9;5;4,0001:00;0006:05;0008:05
197,v,9,5,-1.1,9;5,0001:00;0006:00
198,v,9,6,-1.1,9;5;6,0001:00;0006:12;0010:11
199,v,9,7,-1.1,9;8;7,0001:00;0011:00;0014:00
200,v,9,8,-1.1,9;8,0001:00;0011:00
202,v,9,10,-1.1,9;10,0001:00;0004:00
203,v,9,11,-1.1,9;10;11,0001:00;0004:00;0009:00
204,v,9,12,-1.1,9;10;11;12,0001:00;0004:05;0009:05;0015:05
205,v,9,13,-1.1,9;10;11;12;13,0001:00;0004:05;0009:05;0015:05;0018:06
206,v,9,14,-1.1,9;10;11;14,0001:00;0004:12;0009:11;0013:11
207,v,9,15,-1.1,9;10;15,0001:00;0004:12;0010:11
208,v,9,16,-1.1,9;10;16,0001:00;0004:17;0009:18
209,v,9,17,-1.1,9;10;16;17,0001:00;0004:17;0009:18;0011:18
210,v,9,18,-1.1,9;10;16;18,0001:00;0004:24;0009:24;0012:24
211,v,9,19,-1.1,9;10;16;17;19,0001:00;0004:24;0009:24;0011:24;0013:24
212,v,9,20,-1.1,9;10;16;18;20,0001:00;0004:30;0009:30;0012:30;0016:30
213,v,9,21,-1.1,9;10;15;22;21,0001:00;0004:30;0010:30;0014:30;0016:30
214,v,9,22,-1.1,9;10;15;22,0001:00;0004:35;0010:35;0014:35
215,v,9,23,-1.1,9;10;11;14;23,0001:00;0004:35;0009:35;0013:35;0017:36
216,v,9,24,-1.1,9;10;11;14;23;24,0001:00;0004:42;0009:41;0013:41;0017:41;0019:41
217,v,10,1,-1.1,10;9;5;4;3;1,0001:00;0004:00;0009:00;0011:00;0015:00;0019:00
218,v,10,2,-1.1,10;9;5;6;2,0001:00;0004:00;0009:00;0013:00;0018:00
219,v,10,3,-1.1,10;9;5;4;3,0001:00;0004:05;0009:05;0011:05;0015:05
220,v,10,4,-1.1,10;9;5;4,0001:00;0004:05;0009:05;0011:05
221,v,10,5,-1.1,10;9;5,0001:00;0004:12;0009:11
222,v,10,6,-1.1,10;9;5;6,0001:00;0004:12;0009:11;0013:11
223,v,10,7,-1.1,10;16;18;7,0001:00;0006:00;0009:00;0011:00
224,v,10,8,-1.1,10;16;8,0001:00;0006:00;0011:00
225,v,10,9,-1.1,10;9,0001:00;0004:00
227,v,10,11,-1.1,10;11,0001:00;0006:00
228,v,10,12,-1.1,10;11;12,0001:00;0006:00;0012:00
229,v,10,13,-1.1,10;11;12;13,0001:00;0006:05;0012:05;0015:05
230,v,10,14,-1.1,10;11;14,0001:00;0006:05;0010:05
231,v,10,15,-1.1,10;15,0001:00;0007:00
232,v,10,16,-1.1,10;16,0001:00;0006:00
233,v,10,17,-1.1,10;16;17,0001:00;0006:05;0008:05
234,v,10,18,-1.1,10;16;18,0001:00;0006:12;0009:11
235,v,10,19,-1.1,10;16;17;19,0001:00;0006:12;0008:18;0010:18
236,v,10,20,-1.1,10;16;18;20,0001:00;0006:17;0009:18;0013:18
237,v,10,21,-1.1,10;15;22;21,0001:00;0007:00;0011:00;0013:00
238,v,10,22,-1.1,10;15;22,0001:00;0007:05;0011:05
239,v,10,23,-1.1,10;11;14;23,0001:00;0006:12;0010:11;0014:11
240,v,10,24,-1.1,10;11;14;23;24,0001:00;0006:12;0010:11;0014:11;0016:11
241,v,11,1,-1.1,11;4;3;1,0001:00;0007:00;0011:00;0015:00
242,v,11,2,-1.1,11;4;5;6;2,0001:00;0007:00;0009:00;0013:00;0018:00
243,v,11,3,-1.1,11;4;3,0001:00;0007:05;0011:05
244,v,11,4,-1.1,11;4,0001:00;0007:00
245,v,11,5,-1.1,11;4;5,0001:00;0007:12;0009:11
246,v,11,6,-1.1,11;4;5;6,0001:00;0007:12;0009:11;0013:11
247,v,11,7,-1.1,11;10;16;18;7,0001:00;0006:00;0011:00;0014:00;0016:00
248,v,11,8,-1.1,11;4;5;6;8,0001:00;0007:17;0009:18;0013:18;0015:18
249,v,11,9,-1.1,11;10;9,0001:00;0006:00;0009:00
250,v,11,10,-1.1,11;10,0001:00;0006:00
252,v,11,12,-1.1,11;12,0001:00;0007:00
253,v,11,13,-1.1,11;12;13,0001:00;0007:00;0010:00
254,v,11,14,-1.1,11;14,0001:00;0005:00
255,v,11,15,-1.1,11;14;15,0001:00;0005:00;0010:00
256,v,11,16,-1.1,11;10;16,0001:00;0006:05;0011:05
257,v,11,17,-1.1,11;10;16;17,0001:00;0006:12;0011:11;0013:11
258,v,11,18,-1.1,11;10;16;18,0001:00;0006:12;0011:11;0014:11
259,v,11,19,-1.1,11;14;15;19,0001:00;0005:05;0010:05;0014:05
260,v,11,20,-1.1,11;14;15;19;20,0001:00;0005:05;0010:05;0014:05;0018:06
261,v,11,21,-1.1,11;14;23;24;21,0001:00;0005:12;0009:11;0011:11;0014:11
262,v,11,22,-1.1,11;14;23;22,0001:00;0005:12;0009:11;0013:11
263,v,11,23,-1.1,11;14;23,0001:00;0005:17;0009:18
264,v,11,24,-1.1,11;14;23;24,0001:00;0005:17;0009:18;0011:18
265,v,12,1,-1.1,12;3;1,0001:00;0005:00;0009:00
266,v,12,2,-1.1,12;3;1;2,0001:00;0005:00;0009:00;0015:00
267,v,12,3,-1.1,12;3,0001:00;0005:00
268,v,12,4,-1.1,12;3;4,0001:00;0005:05;0009:05
269,v,12,5,-1.1,12;3;4;5,0001:00;0005:12;0009:11;0011:11
270,v,12,6,-1.1,12;3;4;5;6,0001:00;0005:12;0009:18;0011:18;0015:18
271,v,12,7,-1.1,12;3;4;5;6;8;7,0001:00;0005:17;0009:24;0011:24;0015:24;0017:23;0020:23
272,v,12,8,-1.1,12;3;4;5;6;8,0001:00;0005:17;0009:30;0011:30;0015:30;0017:30
273,v,12,9,-1.1,12;11;10;9,0001:00;0007:00;0012:00;0015:00
274,v,12,10,-1.1,12;11;10,0001:00;0007:00;0012:00
275,v,12,11,-1.1,12;11,0001:00;0007:00
277,v,12,13,-1.1,12;13,0001:00;0004:00
278,v,12,14,-1.1,12;11;14,0001:00;0007:05;0011:05
279,v,12,15,-1.1,12;11;14;15,0001:00;0007:12;0011:18;0016:18
280,v,12,16,-1.1,12;11;10;16,0001:00;0007:12;0012:11;0017:11
281,v,12,17,-1.1,12;11;10;16;17,0001:00;0007:17;0012:18;0017:18;0019:18
282,v,12,18,-1.1,12;11;10;16;18,0001:00;0007:17;0012:18;0017:18;0020:18
283,v,12,19,-1.1,12;11;14;15;19,0001:00;0007:24;0011:24;0016:23;0020:23
284,v,12,20,-1.1,12;13;24;21;20,0001:00;0004:00;0008:00;0011:00;0017:00
285,v,12,21,-1.1,12;13;24;21,0001:00;0004:05;0008:05;0011:05
286,v,12,22,-1.1,12;13;24;21;22,0001:00;0004:05;0008:05;0011:05;0013:05
287,v,12,23,-1.1,12;13;24;23,0001:00;0004:12;0008:11;0010:11
288,v,12,24,-1.1,12;13;24,0001:00;0004:12;0008:11
289,v,13,1,-1.1,13;12;3;1,0001:00;0004:00;0008:00;0012:00
290,v,13,2,-1.1,13;12;3;1;2,0001:00;0004:00;0008:00;0012:00;0018:00
291,v,13,3,-1.1,13;12;3,0001:00;0004:05;0008:05
292,v,13,4,-1.1,13;12;3;4,0001:00;0004:05;0008:05;0012:05
293,v,13,5,-1.1,13;12;3;4;5,0001:00;0004:12;0008:11;0012:11;0014:11
294,v,13,6,-1.1,13;12;3;4;5;6,0001:00;0004:12;0008:11;0012:11;0014:11;0018:11
295,v,13,7,-1.1,13;24;21;20;18;7,0001:00;0005:00;0008:00;0014:00;0018:00;0020:00
296,v,13,8,-1.1,13;12;3;4;5;6;8,0001:00;0004:17;0008:18;0012:18;0014:18;0018:18;0020:18
297,v,13,9,-1.1,13;12;11;10;9,0001:00;0004:17;0010:18;0015:18;0018:18
298,v,13,10,-1.1,13;12;11;10,0001:00;0004:24;0010:24;0015:24
299,v,13,11,-1.1,13;12;11,0001:00;0004:24;0010:24
300,v,13,12,-1.1,13;12,0001:00;0004:00
302,v,13,14,-1.1,13;24;23;14,0001:00;0005:00;0007:00;0011:00
303,v,13,15,-1.1,13;24;21;22;15,0001:00;0005:05;0008:05;0010:05;0014:05
304,v,13,16,-1.1,13;12;11;10;16,0001:00;0004:30;0010:30;0015:30;0020:30
305,v,13,17,-1.1,13;24;21;20;19;17,0001:00;0005:05;0008:05;0014:05;0018:06;0020:06
306,v,13,18,-1.1,13;24;21;20;18,0001:00;0005:12;0008:11;0014:11;0018:11
307,v,13,19,-1.1,13;24;21;20;19,0001:00;0005:12;0008:11;0014:11;0018:11
308,v,13,20,-1.1,13;24;21;20,0001:00;0005:17;0008:18;0014:18
309,v,13,21,-1.1,13;24;21,0001:00;0005:17;0008:18
310,v,13,22,-1.1,13;24;21;22,0001:00;0005:24;0008:24;0010:24
311,v,13,23,-1.1,13;24;23,0001:00;0005:24;0007:24
312,v,13,24,-1.1,13;24,0001:00;0005:00
313,v,14,1,-1.1,14;11;4;3;1,0001:00;0005:00;0011:00;0015:00;0019:00
314,v,14,2,-1.1,14;11;4;5;6;2,0001:00;0005:00;0011:00;0013:00;0017:00;0022:00
315,v,14,3,-1.1,14;11;4;3,0001:00;0005:05;0011:05;0015:05
316,v,14,4,-1.1,14;11;4,0001:00;0005:05;0011:05
317,v,14,5,-1.1,14;11;4;5,0001:00;0005:12;0011:11;0013:11
318,v,14,6,-1.1,14;11;4;5;6,0001:00;0005:12;0011:11;0013:11;0017:11
319,v,14,7,-1.1,14;15;19;17;16;18;7,0001:00;0006:00;0010:00;0012:00;0014:00;0017:00;0019:00
320,v,14,8,-1.1,14;11;4;5;6;8,0001:00;0005:17;0011:18;0013:18;0017:18;0019:18
321,v,14,9,-1.1,14;11;10;9,0001:00;0005:17;0010:18;0013:18
322,v,14,10,-1.1,14;11;10,0001:00;0005:24;0010:24
323,v,14,11,-1.1,14;11,0001:00;0005:00
324,v,14,12,-1.1,14;11;12,0001:00;0005:30;0011:30
325,v,14,13,-1.1,14;23;24;13,0001:00;0005:00;0007:00;0011:00
327,v,14,15,-1.1,14;15,0001:00;0006:00
328,v,14,16,-1.1,14;15;19;17;16,0001:00;0006:05;0010:05;0012:05;0014:05
329,v,14,17,-1.1,14;15;19;17,0001:00;0006:05;0010:05;0012:05
330,v,14,18,-1.1,14;15;19;17;16;18,0001:00;0006:12;0010:11;0012:11;0014:11;0017:11
331,v,14,19,-1.1,14;15;19,0001:00;0006:12;0010:11
332,v,14,20,-1.1,14;15;19;20,0001:00;0006:17;0010:18;0014:18
333,v,14,21,-1.1,14;23;24;21,0001:00;0005:00;0007:00;0010:00
334,v,14,22,-1.1,14;23;22,0001:00;0005:05;0009:05
335,v,14,23,-1.1,14;23,0001:00;0005:00
336,v,14,24,-1.1,14;23;24,0001:00;0005:12;0007:12
337,v,15,1,-1.1,15;14;11;4;3;1,0001:00;0006:00;0010:00;0016:00;0020:00;0024:00
338,v,15,2,-1.1,15;19;17;16;8;6;2,0001:00;0005:00;0007:00;0009:00;0014:00;0016:00;0021:00
339,v,15,3,-1.1,15;14;11;4;3,0001:00;0006:00;0010:00;0016:00;0020:00
340,v,15,4,-1.1,15;14;11;4,0001:00;0006:05;0010:05;0016:06
341,v,15,5,-1.1,15;10;9;5,0001:00;0007:00;0010:00;0015:00
