link_id,link_no,from_node_id,to_node_id,link_type,link_type_name,lanes,length,free_speed,capacity,geometry
16,15,18,19,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.179914 33.639453, -112.168202 33.639534)",
17,16,19,20,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.168202 33.639534, -112.155278 33.639623)",
18,17,20,21,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.155278 33.639623, -112.143162 33.639706)",
19,18,21,22,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.143162 33.639706, -112.128824 33.639805)",
20,19,22,23,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.128824 33.639805, -112.117340 33.639870)",
21,20,23,24,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.117340 33.639870, -112.102573 33.639986)",
22,21,24,25,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.102573 33.639986, -112.087630 33.640089)",
23,22,25,26,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.087630 33.640089, -112.072485 33.640193)",
24,23,26,27,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.072485 33.640193, -112.059965 33.640279)",
25,24,27,28,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.059965 33.640279, -112.046435 33.640372)",
26,25,28,29,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.046435 33.640372, -112.038842 33.646568)",
27,26,29,2,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.038842 33.646568, -112.029867 33.655286)",
28,27,12,2,1,,4,1.000000,60.000000,1800.000000,"LINESTRING (-112.038642 33.662300, -112.029867 33.655286)",
29,28,1,30,1,,2,1.000000,30.000000,1800.000000,"LINESTRING (-112.216413 33.653927, -112.188587 33.654193)",
30,29,30,31,1,,2,1.000000,30.000000,900.000000,"LINESTRING (-112.188587 33.654193, -112.161528 33.654379)",
31,30,31,32,1,,2,1.000000,30.000000,1800.000000,"LINESTRING (-112.161528 33.654379, -112.136488 33.654552)",
32,31,32,33,1,,2,1.000000,30.000000,900.000000,"LINESTRING (-112.136488 33.654552, -112.115040 33.654688)",
33,32,34,2,4,,2,1.000000,20.000000,1800.000000,"LINESTRING (-112.063388 33.655055, -112.029867 33.655286)",
34,33,33,35,1,,2,1.000000,30.000000,900.000000,"LINESTRING (-112.115040 33.654688, -112.088630 33.654881)",
35_credit,34,35,34,2,,2,1.000000,10.000000,900.000000,"LINESTRING (-112.088630 33.654881, -112.063388 33.655055)",
36,35,36,31,1,,3,1.000000,30.000000,1000.000000,"LINESTRING (-112.168880 33.660658, -112.161528 33.654379)",
37,36,31,36,1,,3,1.000000,65.000000,1900.000000,"LINESTRING (-112.161528 33.654380, -112.168880 33.660658)",
38,37,31,37,1,,3,1.000000,65.000000,1900.000000,"LINESTRING (-112.161528 33.654380, -112.168717 33.648094)",
39,38,37,31,1,,3,1.000000,65.000000,1900.000000,"LINESTRING (-112.168717 33.648093, -112.161528 33.654379)",
40,39,38,33,1,,3,1.000000,65.000000,1900.000000,"LINESTRING (-112.117524 33.662468, -112.115041 33.654688)",
41,40,33,38,1,,3,1.000000,65.000000,1900.000000,"LINESTRING (-112.115040 33.654688, -112.117523 33.662469)",
42,41,33,39,1,,3,1.000000,65.000000,1900.000000,"LINESTRING (-112.115041 33.654688, -112.115355 33.646833)",
43,42,39,33,1,,3,1.000000,65.000000,1900.000000,"LINESTRING (-112.115354 33.646833, -112.115040 33.654688)",
44,43,40,35,1,,3,1.000000,65.000000,1900.000000,"LINESTRING (-112.094357 33.660427, -112.088630 33.654881)",
45,44,35,40,1,,3,1.000000,65.000000,1900.000000,"LINESTRING (-112.088630 33.654882, -112.094356 33.660427)",
46,45,35,41,1,,3,1.000000,65.000000,1900.000000,"LINESTRING (-112.088630 33.654882, -112.099647 33.647918)",
47,46,41,35,1,,3,1.000000,65.000000,1900.000000,"LINESTRING (-112.099647 33.647918, -112.088630 33.654881)",
48,47,4,36,1,,2,1.000000,30.000000,700.000000,"LINESTRING (-112.182704 33.667637, -112.168880 33.660658)",
49,48,2,34,1,,3,1.000000,65.000000,1900.000000,"LINESTRING (-112.029867 33.655287, -112.063388 33.655056)",
50,49,34,35,1,,3,1.000000,65.000000,1900.000000,"LINESTRING (-112.063388 33.655056, -112.088630 33.654882)",
51,50,35,33,1,,3,1.000000,65.000000,1900.000000,"LINESTRING (-112.088630 33.654882, -112.115041 33.654688)",
52,51,33,32,1,,3,1.000000,65.000000,1900.000000,"LINESTRING (-112.115041 33.654688, -112.136488 33.654552)",
53,52,32,31,1,,3,1.000000,65.000000,1900.000000,"LINESTRING (-112.136488 33.654552, -112.161528 33.654380)",
54,53,31,30,1,,3,1.000000,65.000000,1900.000000,"LINESTRING (-112.161528 33.654380, -112.188588 33.654193)",
55,54,30,1,1,,3,1.000000,65.000000,1900.000000,"LINESTRING (-112.188588 33.654193, -112.216413 33.653927)",
56,55,7,38,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-112.120306 33.668067, -112.117524 33.662468)",
57,56,38,7,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-112.117523 33.662469, -112.120306 33.668067)",
58,57,39,23,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-112.115355 33.646833, -112.117340 33.639870)",
59,58,23,39,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-112.117340 33.639870, -112.115354 33.646833)",
60,59,7,42,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-112.120306 33.668067, -112.119621 33.671412)",
61,60,42,7,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067)",
62,61,23,43,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-112.117340 33.639870, -112.116949 33.634858)",
63,62,43,23,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-112.116948 33.634858, -112.117340 33.639870)",
64,63,11,44,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-112.046196 33.668577, -112.005727 33.668752)",
65,64,44,11,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-112.005727 33.668753, -112.046196 33.668578)",
66,65,44,45,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-112.005727 33.668752, -111.963730 33.667623)",
67,66,45,44,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-111.963730 33.667624, -112.005727 33.668753)",
68,67,45,46,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-111.963730 33.667623, -111.932894 33.662770)",
69,68,46,45,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-111.932894 33.662771, -111.963730 33.667624)",
70,69,2,47,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-112.029867 33.655286, -112.002470 33.654895)",
71,70,47,2,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-112.002470 33.654896, -112.029867 33.655287)",
72,71,47,48,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-112.002470 33.654895, -111.964208 33.653639)",
73,72,48,47,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-111.964207 33.653640, -112.002470 33.654896)",
74,73,48,49,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-111.964207 33.653639, -111.929702 33.653978)",
75,74,49,48,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-111.929702 33.653979, -111.964208 33.653640)",
76,75,44,47,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-112.005728 33.668752, -112.002470 33.654895)",
77,76,47,44,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-112.002470 33.654895, -112.005727 33.668752)",
78,77,47,50,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-112.002470 33.654895, -112.001827 33.639197)",
79,78,50,47,1,,1,1.000000,65.000000,1900.000000,"LINESTRING (-112.001826 33.639197, -112.002470 33.654895)",
